,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,width_lower_bound
240,2003-11-04 20:00:00,2003-11-05 00:00:00,10000,200,S19W83,10486,28.0,11/04,19:54,,360,2657,True,False
117,2001-04-02 22:05:00,2001-04-03 02:30:00,14000,250,N19W72,9393,20.0,04/02,22:06,261,244,2505,False,False
233,2003-10-28 11:10:00,2003-10-30 00:00:00,14000,40,S16E08,10486,17.0,10/28,11:30,,360,2459,True,False
126,2001-04-15 14:05:00,2001-04-16 13:00:00,14000,40,S20W85,9415,14.0,04/15,14:06,245,167,1199,False,False
234,2003-10-29 20:55:00,2003-10-30 00:00:00,11000,500,S15W02,10486,10.0,10/29,20:54,,360,2029,True,False
8,1997-11-06 12:20:00,1997-11-07 08:30:00,14000,100,S18W63,8100,9.4,11/06,12:10,,360,1556,True,False
514,2017-09-06 12:05:00,2017-09-07 08:00:00,16000,70,S08W33,12673,9.3,09/06,12:24,,360,1571,True,False
328,2006-12-05 10:50:00,2006-12-05 20:00:00,14000,250,S07E68,10930,9.0,,,,,,False,False
237,2003-11-02 17:30:00,2003-11-03 01:00:00,12000,250,S14W56,10486,8.3,11/02,17:30,,360,2598,True,False
515,2017-09-10 16:02:00,2017-09-11 06:50:00,16000,150,S09W92,,8.3,09/10,16:00,,360,3163,True,False
288,2005-01-20 07:15:00,2005-01-20 16:30:00,14000,25,N14W61,10720,7.1,01/20,06:54,,360,882,True,False
359,2011-08-09 08:20:00,2011-08-09 08:35:00,16000,4000,N17W69,11263,6.9,08/09,08:12,,360,1610,True,False
331,2006-12-06 19:00:00,2006-12-09 00:00:00,16000,30,S05E64,10930,6.5,,,,,,False,False
317,2005-09-09 19:45:00,2005-09-09 22:00:00,10000,50,S12E67,10808,6.2,09/09,19:48,,360,2257,True,False
82,2000-07-14 10:30:00,2000-07-15 14:30:00,14000,80,N22W07,9077,5.7,07/14,10:54,,360,1674,True,False
121,2001-04-06 19:35:00,2001-04-07 01:50:00,14000,230,S21E31,9415,5.6,04/06,19:30,,360,1270,True,False
375,2012-03-07 01:00:00,2012-03-08 19:00:00,16000,30,N17E27,11429,5.4,03/07,00:24,,360,2684,True,False
135,2001-08-25 16:50:00,2001-08-25 23:00:00,8000,170,S17E34,9591,5.3,08/25,16:50,,360,1433,True,False
443,2014-02-25 00:56:00,2014-02-25 11:28:00,14000,100,S12E82,11990,4.9,02/25,01:25,,360,2147,True,False
193,2002-07-23 00:50:00,2002-07-23 04:00:00,11000,400,S13E72,10039,4.8,07/23,00:42,,360,2285,True,False
104,2000-11-26 17:00:00,2000-11-26 17:15:00,14000,7000,N18W38,9236,4.0,11/26,17:06,,360,980,True,False
239,2003-11-03 10:00:00,2003-11-03 12:30:00,6000,400,N08W77,10488,3.9,11/03,10:06,293,103,1420,False,False
286,2005-01-17 10:00:00,2005-01-17 10:35:00,6100,1500,N15W25,10720,3.8,01/17,09:54,,360,2547,True,False
222,2003-05-28 01:00:00,2003-05-29 00:30:00,1000,200,S07W20,10365,3.6,05/28,00:50,,360,1366,True,False
332,2006-12-13 02:45:00,2006-12-13 10:40:00,12000,150,S06W23,10930,3.4,12/13,02:54,,360,1774,True,False
160,2001-12-28 20:35:00,2001-12-29 03:00:00,14000,350,S26E90,9756,3.4,12/28,20:30,,360,2216,True,False
192,2002-07-20 21:30:00,2002-07-20 22:20:00,10000,2000,S13E90,10039,3.3,07/20,22:06,,360,1941,True,False
404,2013-05-14 01:16:00,2013-05-14 08:20:00,16000,240,N08E77,11748,3.2,05/14,01:25,,360,2625,True,False
201,2002-08-24 01:45:00,2002-08-24 03:25:00,5000,400,S02W81,10069,3.1,08/24,01:27,,360,1913,True,False
403,2013-05-13 16:15:00,2013-05-13 19:10:00,16000,300,N11E85,11748,2.8,05/13,16:07,,360,1850,True,False
487,2015-05-05 22:24:00,2015-05-05 23:14:00,14000,500,N15E79,12339,2.7,05/05,22:24,,360,715,True,False
19,1998-05-06 08:25:00,1998-05-06 08:35:00,14000,5000,S11W65,8210,2.7,05/06,08:29,309,190,1099,False,False
238,2003-11-03 01:15:00,2003-11-03 01:25:00,3000,1500,N10W83,10488,2.7,11/03,01:59,304,65,827,False,False
284,2005-01-15 23:00:00,2005-01-17 00:00:00,3000,40,N15W05,10720,2.6,01/15,23:06,,360,2861,True,False
142,2001-09-24 10:45:00,2001-09-25 20:00:00,7000,30,S16E23,9632,2.6,09/24,10:30,,360,2402,True,False
9,1997-11-27 13:30:00,1997-11-27 14:00:00,14000,7000,N17E63,8113,2.6,11/27,13:56,98,91,441,False,False
276,2004-11-10 02:25:00,2004-11-10 03:40:00,14000,1000,N09W49,10696,2.5,11/10,02:26,,360,3387,True,False
123,2001-04-10 05:24:00,2001-04-11 00:00:00,14000,100,S23W09,9415,2.3,04/10,05:30,,360,2411,True,False
99,2000-11-24 15:25:00,2000-11-24 22:00:00,14000,200,N22W07,9236,2.3,11/24,15:30,,360,1245,True,False
73,2000-06-06 15:20:00,2000-06-08 09:00:00,14000,40,N20E18,9026,2.3,06/06,15:54,,360,1119,True,False
345,2011-02-15 02:10:00,2011-02-15 07:00:00,16000,400,S20W12,11158,2.2,02/15,02:24,,360,669,True,False
318,2005-09-10 21:45:00,2005-09-11 01:00:00,14000,200,S13E47,10808,2.1,09/10,21:52,,360,1893,True,False
361,2011-09-06 22:30:00,2011-09-07 15:40:00,16000,150,N14W18,11283,2.1,09/06,23:05,,360,575,True,False
420,2013-10-25 15:08:00,2013-10-25 22:32:00,16000,200,S06E69,11882,2.1,10/25,15:12,,360,1081,True,False
7,1997-11-04 06:00:00,1997-11-05 04:30:00,14000,100,S14W33,8100,2.1,11/04,06:10,,360,785,True,False
98,2000-11-24 05:10:00,2000-11-24 15:00:00,14000,100,N20W05,9236,2.0,11/24,05:30,,360,1289,True,False
125,2001-04-12 10:20:00,2001-04-12 10:40:00,14000,7000,S19W43,9415,2.0,04/12,10:31,,360,1184,True,False
274,2004-11-07 16:25:00,2004-11-08 20:00:00,14000,60,N09W17,10696,2.0,11/07,16:54,,360,1759,True,False
285,2005-01-17 09:25:00,2005-01-17 16:00:00,14000,30,N15W25,10720,2.0,01/17,09:30,,360,2094,True,False
102,2000-11-25 19:00:00,2000-11-25 19:35:00,6000,2000,N20W23,9236,1.9,11/25,19:31,,360,671,True,False
